Reference,Qty,Description,Value / search target,Package,Assembly note
J1,1,2-pin header,PZ254V-11-02P / LCSC C492401,TH 2.54 mm,12V input from DC5521 adapter; center-positive verified before use
J2,1,4-pin fan header,PZ254V-11-04P / LCSC C2691448,TH 2.54 mm,Front 140 mm fan
J3,1,4-pin fan header,PZ254V-11-04P / LCSC C2691448,TH 2.54 mm,Rear Delta 60 mm fan
J4,1,6-pin horizontal header,PZ254V-11-06P / LCSC C492405,TH 2.54 mm,ESP32 signal harness; verify mating direction
F1,1,Resettable fuse,SMD1206-150-16 / LCSC C46641031,1206,1.5 A hold-class PTC; verify startup surge with both fans
D1,1,Schottky diode,SS34 / LCSC C8678,SMA,Series reverse-polarity protection
Q1,1,N-channel MOSFET,2N7002 / LCSC C8545,SOT-23,Open-drain PWM sink
R1,1,Gate resistor,1 kOhm 1% / LCSC C21190,0603,ESP_PWM to Q1 gate
R2,1,Gate pulldown,100 kOhm 1% / LCSC C25803,0603,Q1 gate to GND
R3,1,Tach series resistor,220 Ohm 1% / LCSC C22962,0603,Front tach input protection
R4,1,Tach pull-up,4.7 kOhm 1% / LCSC C23162,0603,Front tach to ESP32 3V3
R5,1,Tach series resistor,220 Ohm 1% / LCSC C22962,0603,Rear tach input protection
R6,1,Tach pull-up,4.7 kOhm 1% / LCSC C23162,0603,Rear tach to ESP32 3V3
C1,1,Bulk capacitor,100 uF 25 V SMD electrolytic / LCSC C970685,"SMD,D6.3mm",Placed near fan outputs
C2,1,Bypass capacitor,100 nF 50 V X7R / LCSC C14663,0603,Stocked Basic Part
