"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","1","100uF","C1","CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD-1","100uF","RVT1E101M0607 100UF 25V","DMBJ(振宝佳)","C970685","LCSC"
"2","1","100nF","C2","C0603","100nF","CC0603KRX7R9BB104","YAGEO(国巨)","C14663","LCSC"
"3","1","SS34","D1","SMA_L4.3-W2.6-LS5.2-RD","","SS34","MDD(辰达半导体)","C8678","LCSC"
"4","1","SMD1206-150-16","F1","F1206","","SMD1206-150-16","R+O(宏嘉诚)","C46641031","LCSC"
"5","1","DC-005-5A-2.0","J1","DC-IN-TH_DC-005-5A-2.0","","DC-005-5A-2.0","XKB Connection(中国星坤)","C381116","LCSC"
"6","2","470531000","J2,J3","CONN-TH_47053-1000","","470531000","MOLEX","C240840","LCSC"
"7","2","HX PM2.54-1x11P ZC","JDISP1,JDISP2","HDR-TH_11P-P2.54-V-F-1","","HX PM2.54-1x11P ZC","hanxia(韩下)","C41417323","LCSC"
"8","1","AO3400A","Q1","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","AO3400A","AOS","C20917","LCSC"
"9","3","220Ω","R1,R3,R5","R0603","220Ω","0603WAF2200T5E","UNI-ROYAL(厚声)","C22962","LCSC"
"10","1","100kΩ","R2","R0603","100kΩ","0603WAF1003T5E","UNI-ROYAL(厚声)","C25803","LCSC"
"11","2","4.7kΩ","R4,R6","R0603","4.7kΩ","0603WAF4701T5E","UNI-ROYAL(厚声)","C23162","LCSC"
